OTU,sampleName,OTUsize,dilution,sample,readSpikeSum,inputDNA,added.lysis.buffer.ml.,WEIGHT.g.,period,lysis.batch,aliquot,lysisBufferFrac,FSL,sample2,fittedOTUsize,fittedFSL
OTU393,HB.053.M1.S1.B,162,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,270.124605325084,Sample 6,-0.391220440020016,-0.298616791339619
OTU395,HB.053.M1.S1.B,139,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,231.773581112264,Sample 6,-0.39101143238842,-0.306835913092193
OTU398,HB.053.M1.S1.B,281,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,468.549469730547,Sample 6,-0.391344398041281,-0.293742203453966
OTU4,HB.053.M1.S1.B,254410,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,424212.350868856,Sample 6,-0.397533755724193,-0.15266593971582
OTU400,HB.053.M1.S1.B,48,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,80.0369200963213,Sample 6,-0.43829504098183,-0.434791836223356
OTU403,HB.053.M1.S1.B,167,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,278.461784501784,Sample 6,-0.391327270188046,-0.294415747812295
OTU406,HB.053.M1.S1.B,58,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,96.7112784497215,Sample 6,-0.39020874699095,-0.3829668501196
OTU41,HB.053.M1.S1.B,179,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,298.471014525865,Sample 6,-0.386073546915419,-0.595383970457631
OTU43,HB.053.M1.S1.B,23867,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,39796.6910820604,Sample 6,-0.388552372004517,-0.112003379593897
OTU44,HB.053.M1.S1.B,6819,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,11370.2449611836,Sample 6,-0.396501902140129,-0.203422645095951
OTU45,HB.053.M1.S1.B,18577,B,HB.053.M1.S1,12158.3888888889,0.7,12,2.4,1,3,0.6,0.05,30975.9555131117,Sample 6,-0.397964942461625,-0.145470197061955
