OTUID sampleName readNum mtagNum soup exp soupRep PCR lib pcrRep readSpike mtagSpike readNumSpikeCorr mtagNumSpikeCorr inputCOINum inputGDNA
HAP001 G2_tag51_tag51_5 10 10 G within-spp 2 tag51_tag51 5 1 63523.5833333333 24557.6666666667 0.588600296740187 1.22365045539071 26263573.87 16
HAP001 G2_tag52_tag52_5 15 15 G within-spp 2 tag52_tag52 5 2 48798.75 18807.4166666667 1.1493122262353 2.39666089175813 26263573.87 16
HAP001 G2_tag53_tag53_5 6 6 G within-spp 2 tag53_tag53 5 3 58767.0833333333 19930.6666666667 0.381744315482732 0.90463607171528 26263573.87 16
HAP001 G3_tag54_tag54_5 25 25 G within-spp 3 tag54_tag54 5 1 44243.8333333333 16296.5 2.11272380708423 4.6098855582487 26263573.87 16
HAP001 G3_tag55_tag55_5 10 10 G within-spp 3 tag55_tag55 5 2 118403.833333333 27811.3333333333 0.315783695066179 1.08049476232711 26263573.87 16
HAP001 G3_tag56_tag56_5 19 19 G within-spp 3 tag56_tag56 5 3 73786.5833333333 22722.8333333333 0.962790209150489 2.51267080836457 26263573.87 16
HAP002 A1_tag01_tag01_4 6 4 A within-spp 1 tag01_tag01 4 1 8862.91666666667 6642.41666666667 2.53122091109962 1.80958235581929 2411243.901 61
HAP002 A1_tag02_tag02_4 8 7 A within-spp 1 tag02_tag02 4 2 3739.5 3199.41666666667 7.99893033828052 6.57463600135441 2411243.901 61
HAP002 A1_tag03_tag03_4 5 5 A within-spp 1 tag03_tag03 4 3 4090.66666666667 3441.41666666667 4.57015971316819 4.36593457151851 2411243.901 61
HAP002 A2_tag04_tag04_4 0 0 A within-spp 2 tag04_tag04 4 1 8054.83333333333 4966.83333333333 0 0 2411243.901 61
HAP002 A2_tag05_tag05_4 0 0 A within-spp 2 tag05_tag05 4 2 20218.5 9843.33333333333 0 0 2411243.901 61
HAP002 A2_tag06_tag06_4 0 0 A within-spp 2 tag06_tag06 4 3 11132.5 7331.83333333333 0 0 2411243.901 61
HAP002 A3_tag07_tag07_4 40 39 A within-spp 3 tag07_tag07 4 1 20534 13127.0833333333 7.28352975552742 8.92772575781622 2411243.901 61
HAP002 A3_tag08_tag08_4 12 12 A within-spp 3 tag08_tag08 4 2 13864.1666666667 10376 3.23625653663521 3.47532767925983 2411243.901 61
