OTUID	A1_tag01_tag01_4	A1_tag02_tag02_4	A1_tag03_tag03_4	A2_tag04_tag04_4	A2_tag05_tag05_4	A2_tag06_tag06_4	A3_tag07_tag07_4	A3_tag08_tag08_4	A3_tag09_tag09_4	B1_tag10_tag10_4	B1_tag11_tag11_4	B1_tag12_tag12_4	B2_tag26_tag26_4	B2_tag27_tag27_4	B2_tag28_tag28_4	B3_tag29_tag29_4	B3_tag31_tag31_4	B3_tag32_tag32_4	C1_tag33_tag33_4	C1_tag34_tag34_4	C1_tag35_tag35_4	C2_tag36_tag36_4	C2_tag37_tag37_4	C2_tag38_tag38_4	C3_tag51_tag51_4	C3_tag52_tag52_4	C3_tag53_tag53_4	D1_tag54_tag54_4	D1_tag55_tag55_4	D1_tag56_tag56_4	D2_tag61_tag61_4	D2_tag62_tag62_4	D2_tag63_tag63_4	D3_tag01_tag01_5	D3_tag02_tag02_5	D3_tag03_tag03_5	E1_tag04_tag04_5	E1_tag05_tag05_5	E1_tag06_tag06_5	E2_tag07_tag07_5	E2_tag08_tag08_5	E2_tag09_tag09_5	E3_tag10_tag10_5	E3_tag11_tag11_5	E3_tag12_tag12_5	F1_tag26_tag26_5	F1_tag27_tag27_5	F1_tag28_tag28_5	F2_tag29_tag29_5	F2_tag31_tag31_5	F2_tag32_tag32_5	F3_tag33_tag33_5	F3_tag34_tag34_5	F3_tag35_tag35_5	G1_tag36_tag36_5	G1_tag37_tag37_5	G1_tag38_tag38_5	G2_tag51_tag51_5	G2_tag52_tag52_5	G2_tag53_tag53_5	G3_tag54_tag54_5	G3_tag55_tag55_5	G3_tag56_tag56_5	NC_tag61_tag61_5	NC_tag62_tag62_5	NC_tag63_tag63_5	PNC55_tag76_tag76_1	PNC55_tag77_tag77_1	PNC55_tag78_tag78_1	PNC56_tag76_tag76_2	PNC56_tag77_tag77_2	PNC56_tag78_tag78_2	PNC57_tag85_tag85_3	PNC57_tag86_tag86_3	PNC57_tag87_tag87_3	PNC58_tag64_tag64_4	PNC58_tag65_tag65_4	PNC58_tag66_tag66_4	PNC59_tag64_tag64_5	PNC59_tag65_tag65_5	PNC59_tag66_tag66_5
HAP180	8383	4914	5453	6160	7548	7159	13536	9293	5128	15622	11007	15113	12907	14985	5065	13967	12165	12761	8347	35730	5549	5228	15956	5001	10115	12717	5938	11457	6675	13648	22697	13627	28808	12341	18676	16016	6755	17139	8895	12235	23369	31381	17275	10258	8568	11238	7129	5302	12102	13864	10202	3364	8212	12897	17070	16005	18869	8861	5740	6726	4341	7179	7599	115	62	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP181	1397	742	557	316	306	314	1248	593	326	500	584	968	391	1074	192	437	246	500	376	174	251	224	970	186	252	371	133	363	133	273	505	420	618	162	226	202	289	569	297	114	315	409	384	414	407	110	123	89	180	103	98	108	126	300	376	285	224	258	160	155	160	256	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP183	1851	791	822	1380	2003	1325	3536	2172	1212	880	707	640	616	775	222	1051	625	1143	1218	653	1137	1063	2810	701	1406	1986	789	1409	757	1514	2431	2386	4017	1460	1249	2205	1078	2677	1008	825	2051	2667	2352	2041	1984	1472	549	446	1698	801	625	284	272	1161	1938	1477	984	749	912	1171	710	1892	1396	10	5	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP184	329	218	188	450	439	365	1071	454	271	320	422	640	271	856	148	324	157	365	798	277	560	732	2469	428	533	882	250	2995	1086	2268	4538	3768	5736	363	549	623	2404	5285	2120	375	942	1018	698	838	721	317	333	235	502	332	295	294	312	1239	746	733	431	396	337	350	249	469	365	15	10	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP185	23	10	14	14	20	16	65	34	9	0	0	0	9	12	6	11	8	13	19	10	9	9	53	6	0	0	0	26	9	22	41	34	58	12	22	18	15	33	14	10	50	38	40	32	18	14	11	7	22	10	10	7	9	23	15	30	9	11	4	11	8	22	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP187	200	138	114	604	489	377	727	233	165	153	229	323	408	780	164	336	122	328	435	26	328	339	1157	221	303	436	130	418	138	303	550	455	715	190	251	306	511	697	363	209	395	577	359	467	475	234	204	168	338	127	150	121	130	570	406	358	219	353	278	261	150	348	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP188	476	248	148	377	350	450	701	377	175	277	327	569	267	816	180	414	238	406	449	245	325	266	1021	205	344	355	124	531	221	354	520	436	740	197	252	249	333	825	477	813	451	574	411	568	513	1166	909	653	1358	729	707	485	999	1655	423	382	243	269	163	175	189	363	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP190	1374	646	593	828	310	988	5875	1879	1374	2093	1929	1356	788	1054	206	523	316	726	1076	260	631	541	3065	505	2219	1580	485	1088	495	806	2134	1308	2248	1000	1124	1296	1025	749	1425	853	972	1360	2014	1851	1515	532	227	156	731	336	282	260	141	645	710	1191	463	819	465	518	452	1012	483	11	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAP191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
