OTU,soupName,OTUsize,dilution,sample,readSpikeSum,inputDNA,added.lysis.buffer.ml.,WEIGHT.g.,period,lysis.batch,aliquot,lysisBufferFrac,FSL
OTU390,123545.M1.S1.A,75,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,229.169075562236
OTU396,123545.M1.S1.A,65,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,198.613198820605
OTU398,123545.M1.S1.A,109,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,333.059056483783
OTU4,123545.M1.S1.A,41196,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,125877.989824825
OTU406,123545.M1.S1.A,780,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2383.35838584726
OTU407,123545.M1.S1.A,89,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,271.94730300052
OTU410,123545.M1.S1.A,68,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,207.779961843094
OTU418,123545.M1.S1.A,207,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,632.506648551772
OTU43,123545.M1.S1.A,11,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,33.6114644157946
OTU430,123545.M1.S1.A,38,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,116.1123316182
OTU432,123545.M1.S1.A,100,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,305.558767416315
OTU438,123545.M1.S1.A,67,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,204.724374168931
OTU44,123545.M1.S1.A,6814,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,20820.7744117477
OTU443,123545.M1.S1.A,44,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,134.445857663179
OTU449,123545.M1.S1.A,55,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,168.057322078973
OTU450,123545.M1.S1.A,85,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,259.724952303868
OTU452,123545.M1.S1.A,52,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,158.890559056484
OTU456,123545.M1.S1.A,44,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,134.445857663179
OTU462,123545.M1.S1.A,34,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,103.889980921547
OTU463,123545.M1.S1.A,46,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,140.557033011505
OTU475,123545.M1.S1.A,44,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,134.445857663179
OTU479,123545.M1.S1.A,32,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,97.7788055732208
OTU48,123545.M1.S1.A,15,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,45.8338151124472
OTU489,123545.M1.S1.A,40,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,122.223506966526
OTU499,123545.M1.S1.A,10,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,30.5558767416315
OTU5,123545.M1.S1.A,852,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2603.360698387
OTU50,123545.M1.S1.A,20,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,61.111753483263
OTU51,123545.M1.S1.A,16134,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,49298.8515349482
OTU517,123545.M1.S1.A,17,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,51.9449904607735
OTU537,123545.M1.S1.A,35,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,106.94556859571
OTU538,123545.M1.S1.A,18,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,55.0005781349367
OTU539,123545.M1.S1.A,49,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,149.723796033994
OTU54,123545.M1.S1.A,42,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,128.334682314852
OTU548,123545.M1.S1.A,15,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,45.8338151124472
OTU56,123545.M1.S1.A,792,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,2420.02543793721
OTU57,123545.M1.S1.A,10,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,30.5558767416315
OTU578,123545.M1.S1.A,49,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,149.723796033994
OTU58,123545.M1.S1.A,8652,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,26436.9445568596
OTU59,123545.M1.S1.A,18449,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,56372.5370006359
OTU595,123545.M1.S1.A,47,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,143.612620685668
OTU6,123545.M1.S1.A,654,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1998.3543389027
OTU610,123545.M1.S1.A,16,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,48.8894027866104
OTU628,123545.M1.S1.A,24,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,73.3341041799156
OTU631,123545.M1.S1.A,26,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,79.4452795282419
OTU635,123545.M1.S1.A,28,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,85.5564548765682
OTU64,123545.M1.S1.A,16,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,48.8894027866104
OTU646,123545.M1.S1.A,11,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,33.6114644157946
OTU65,123545.M1.S1.A,440,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1344.45857663179
OTU651,123545.M1.S1.A,15,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,45.8338151124472
OTU69,123545.M1.S1.A,34,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,103.889980921547
OTU692,123545.M1.S1.A,19,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,58.0561658090998
OTU7,123545.M1.S1.A,51,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,155.834971382321
OTU71,123545.M1.S1.A,2268,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,6930.07284500202
OTU718,123545.M1.S1.A,9,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,27.5002890674683
OTU729,123545.M1.S1.A,10,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,30.5558767416315
OTU73,123545.M1.S1.A,155,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,473.616089495288
OTU74,123545.M1.S1.A,6013,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,18373.248684743
OTU77,123545.M1.S1.A,7184,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,21951.3418511881
OTU775,123545.M1.S1.A,18,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,55.0005781349367
OTU78,123545.M1.S1.A,9,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,27.5002890674683
OTU79,123545.M1.S1.A,3311,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,10117.0507891542
OTU8,123545.M1.S1.A,229,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,699.729577383361
OTU80,123545.M1.S1.A,13145,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,40165.6999768746
OTU81,123545.M1.S1.A,442,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,1350.56975198011
OTU822,123545.M1.S1.A,11,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,33.6114644157946
OTU843,123545.M1.S1.A,12,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,36.6670520899578
OTU85,123545.M1.S1.A,1985,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,6065.34153321385
OTU858,123545.M1.S1.A,12,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,36.6670520899578
OTU88,123545.M1.S1.A,7095,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,21679.3945481875
OTU9,123545.M1.S1.A,124,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,378.892871596231
OTU90,123545.M1.S1.A,5709,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,17444.3500317974
OTU900,123545.M1.S1.A,13,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,39.7226397641209
OTU95,123545.M1.S1.A,3618,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,11055.1162051223
OTU96,123545.M1.S1.A,7132,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,21792.4512921316
OTU97,123545.M1.S1.A,6209,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,18972.143868879
OTU978,123545.M1.S1.A,12,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,36.6670520899578
OTU986,123545.M1.S1.A,8,A,123545.M1.S1,9609.44444444445,1,13.5,2.31,1,5,0.6,0.0444444444444444,24.4447013933052
OTU10,123545.M1.S1.B,200,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,277.731797867058
OTU1002,123545.M1.S1.B,17,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,23.6072028186999
OTU1008,123545.M1.S1.B,13,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,18.0525668613587
OTU104,123545.M1.S1.B,10,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,13.8865898933529
OTU1052,123545.M1.S1.B,10,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,13.8865898933529
OTU106,123545.M1.S1.B,3591,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,4986.67443070302
OTU108,123545.M1.S1.B,3129,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,4345.11397763012
OTU109,123545.M1.S1.B,3341,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,4639.5096833692
OTU11,123545.M1.S1.B,178,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,247.181300101681
OTU110,123545.M1.S1.B,4766,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,6618.34874317198
OTU111,123545.M1.S1.B,3587,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,4981.11979474568
OTU1120,123545.M1.S1.B,7,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,9.72061292534702
OTU114,123545.M1.S1.B,1298,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,1802.4793681572
OTU1151,123545.M1.S1.B,8,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,11.1092719146823
OTU1154,123545.M1.S1.B,11,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,15.2752488826882
OTU1160,123545.M1.S1.B,9,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,12.4979309040176
OTU118,123545.M1.S1.B,96,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,133.311262976188
OTU12,123545.M1.S1.B,172631,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,239725.58998794
OTU120,123545.M1.S1.B,3061,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,4250.68516635532
OTU125,123545.M1.S1.B,754,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,1047.04887795881
OTU126,123545.M1.S1.B,1971,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,2737.04686797985
OTU129,123545.M1.S1.B,2413,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,3350.83414126605
OTU13,123545.M1.S1.B,435,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,604.06666036085
OTU130,123545.M1.S1.B,2636,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,3660.50509588782
OTU135,123545.M1.S1.B,4623,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,6419.77050769704
OTU139,123545.M1.S1.B,2821,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,3917.40700891485
OTU143,123545.M1.S1.B,323,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,448.536853555298
OTU144,123545.M1.S1.B,160,B,123545.M1.S1,21144.5,0.7,13.5,2.31,1,5,0.6,0.0444444444444444,222.185438293646
